vegetable ,rates,URL
Tomato - Regular (Tamatar),19,https://www.bigbasket.com/pd/50000557/fresho-tomato-hybrid-organically-grown-1-kg/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Potato - Big ( Batata ),20,https://www.bigbasket.com/pd/10000159/fresho-potato-1-kg/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Onion - Big ( Kaanda ),125,https://www.bigbasket.com/pd/10000148/fresho-onion-1-kg/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
American Corn (Bhutta),18,https://www.bigbasket.com/pd/10000148/fresho-onion-1-kg/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Banana Leaf (Kela Patta),5,https://www.bigbasket.com/pd/20003762/fresho-banana-leaf-1-pc/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Banana - Green (kaccha kela),47,https://www.bigbasket.com/pd/10000167/fresho-banana-raw-green-1-kg/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Beet Root (Beet),36,https://www.bigbasket.com/pd/10000047/fresho-beetroot-1-kg/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Bottle Gourd (Dudhi),46,https://www.bigbasket.com/pd/10000052/fresho-bottle-gourd-1-kg/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Brinjal - Bharta ( Baingan Bharta ),29,https://www.bigbasket.com/pd/30000435/fresho-brinjal-purple-bharta-1-kg/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Brinjal (Baingan),22,https://www.bigbasket.com/pd/30000438/fresho-brinjal-green-round-500-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Cabbage (Pattagobi),20,https://www.bigbasket.com/pd/10000066/fresho-cabbage-1-pc/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Capsicum (Simla Mirchi),38,https://www.bigbasket.com/pd/10000069/fresho-capsicum-green-500-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Carrot ( Gaajar ),58,https://www.bigbasket.com/pd/10000272/fresho-carrot-ooty-1-kg/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Cauliflower ( Fulgobhi ),40,https://www.bigbasket.com/pd/10000074/fresho-cauliflower-1-pc/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Chilly Green - Small ( Mirchi ),47,https://www.bigbasket.com/pd/10000082/fresho-chilli-green-long-medium-250-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Red Chilly,48,https://www.bigbasket.com/pd/10000419/bb-royal-dry-red-chilli-with-stem-200-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Coconut,25,https://www.bigbasket.com/pd/10000092/fresho-coconut-large-1-pc/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Coriander (Kothmir),24,https://www.bigbasket.com/pd/10000098/fresho-coriander-leaves-250-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Chawli Fresh,48,https://www.bigbasket.com/pd/10000276/fresho-beans-cowpea-1-kg/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Cucumber (Kakdi),23,https://www.bigbasket.com/pd/10000102/fresho-cucumber-1-kg/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Kadi Patta,48,https://www.bigbasket.com/pd/10000104/fresho-curry-leaves-100-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Drumsticks (Shevga),263,https://www.bigbasket.com/pd/10000109/fresho-drumstick-250-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
French Beans (Fansi),50,https://www.bigbasket.com/pd/10000044/fresho-beans-french-ring-500-g/
Garlic - Whole ( Lahsun akkha ),191,https://www.bigbasket.com/pd/10000330/fresho-garlic-1-kg/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Garlic - Machine peeled,216,https://www.bigbasket.com/pd/40010687/fresho-garlic-peeled-100-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Garlic - Hand peeled,225,https://www.bigbasket.com/pd/50000507/fresho-garlic-organically-grown-250-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Ginger (Adrak),84,https://www.bigbasket.com/pd/50000510/fresho-ginger-organically-grown-500-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Ladies Finger (Bhindi),60,https://www.bigbasket.com/pd/10000142/fresho-ladies-finger-1-kg/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Lemon - Big,2.5,https://www.bigbasket.com/pd/10000126/fresho-lemon-100-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Methi,24,https://www.bigbasket.com/pd/10000113/fresho-methi-500-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Mint (Pudina),15,https://www.bigbasket.com/pd/10000138/fresho-mint-leaves-250-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Pumpkin - Red,30,https://www.bigbasket.com/pd/10000282/fresho-pumpkin-disco-1-kg/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Spinach (Palak),22,https://www.bigbasket.com/pd/10000188/fresho-palak-500-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Spring Onion (Hara Kanda),24,https://www.bigbasket.com/pd/30000586/fresho-spring-onion-500-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Elephant Foot (Suran),31,https://www.bigbasket.com/pd/10000379/fresho-yam-elephant-foot-1-kg/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Parwal,100,https://www.bigbasket.com/pd/10000366/fresho-parwal-500-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Snake Gourd (Lamba parwal),20,https://www.bigbasket.com/pd/10000186/fresho-snake-gourd-250-g/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Green Peas - Fresh ( Watana ),65,https://www.bigbasket.com/pd/10000284/fresho-green-peas-1-kg/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
Tendli,50,https://www.bigbasket.com/pd/40057966/fresho-tender-coconut-medium-1-pc/?nc=cl-prod-list&t_pg=&t_p=&t_s=cl-prod-list&t_pos=1&t_ch=desktop
